address,info,sector,name,country,city,phone,fax,site
İşçi Blokları Mah. Konya Yolu ( Mevlana Bul.) No:182/B Blok Kat:23 Balgat / Çankaya / ANKARA,"IC İçtaş Enerji'nin hedefi, elektrik, gaz ve kömür dahil her tür enerji ile ilgili sahada proje geliştirici, yapımcı, üretici ve dağıtıcı olarak Türkiye içinde ve dışında faaliyet göstermektir",Enerji,IC İÇTAŞ ENERJİ,Türkiye,Ankara,+90 312 285 83 63,+90 312 285 83 43,http://www.ictasenerji.com.tr/
Bağlıca Köyü Yolu 3. Km Etimesgut - ANKARA,"MEBS Cihaz ve Malzemelerin Bakım/Onarımı, Yenileştirilmesi, İmalatı, İkmali ve Tedarik Faaliyetleri.",Askeri,KARA KUVVETLERİ 4'ÜNCÜ ANA BAKIM MERKEZİ KOMUTANLIĞI,Türkiye,Ankara,+90 312 244 66 68,+90 312 244 49 59,
Eski Guvercinlik Yolu 113 Gazi 06560 Ankara TURKIYE,"MİTAŞ Enerji ve Maden İşleri Türk A.Ş. enerji, telekomünikasyon ve aydınlatma sektörleri için çelik direk ve yapılar ile aksesuarlarının tasarımı, imalatı ve galvaniz kaplanması konularında faaliyet göstermektedir.

Bünyesinde 1.500 personel ve 80’den fazla mühendis bulunduran MİTAŞ 42.000 m2’si kapalı olmak üzere 82.000 m2 büyüklüğünde üretim tesisinde, yıllık 90.000 ton  çelik konstrüksiyon imalat ve 150.000 ton galvaniz kaplama kapasitesine sahiptir.",Üretim,Mitaş Enerji ve Madeni İnşaat İşleri Türk A.Ş.,Türkiye,Ankara,(+90 312) 296 20 00,,
"Yenişehir Mahallesi Dedepaşa Cad. 
Elif Sok. No:2 34912 
Kurtköy - Pendik - İstanbul","Novartis Group companies employ approximately 135,000 full-time-equivalent associates and sell products in Pharmaceutical Industry to more than 150 countries around the world.",Pharmaceutical Industry,Novartis Sağlık Gıda ve Tarım Ürünleri San. Ve Tic. A.Ş,Türkiye,İstanbul,0(216) 560 10 00,,http://www.novartis.com.tr/
"Ankara Teknoloji Geliştirme Bölgesi 1606. Cadde Cyberplaza C Blok 4 146 
Çankaya","The company works with international companies and provides consultancy on  engineering, technology and strategy and helps the implementation of such strategies. 
Development and test of Multi-Screen Video Platform s.",Telecommunications,Pegasus Danışmanlık Mühendislik Bilişim Telekom San.ve Tic.Ltd.Şti,Türkiye,Ankara,+90 312 265 03 33,,
1. Organize Sanayi Bölgesi Erkunt Cad. No: 6 Sincan – Ankara / TÜRKİYE,"Her çeşit ticari araçlarda araç üstü ekipman ve mobil hidrolik üst yapı uygulamaları için; yavru şanzımanlar ( PTO ), ara şanzımanlar ( Split - Shaft PTO ), hidrolik dişli pompalar, pistonlu pompalar, kontrol valfleri ve buna bağlı yardımcı hidrolik ve pnomatik ekipmanlarının üretimi",ÜRETİM,Kozanoğlu Kozmaksan Ltd.Şti,Türkiye,Ankara,0312 267 39 71,0312 267 38 72,http://www.kozmaksan.com.tr/
"Yeşiloba Mah. 46027 Sok. Metal San. Sit. 20.Blok No:2/J
Seyhan - ADANA","MERT A.Ş., Hidrolik ve Pnömatik ağırlıklı teknik fabrika malzemeleri satışı amacıyla 1969 yılında İstanbul, Perşembe Pazarı’nda kuruldu.

Dokuz yıl içerisinde, 1978 yılında yerel/bölgesel ihtiyaçlar ve şirketin gelişim stratejisi doğrultusunda, üretim amaçlı MERT Akışkan Gücü A.Ş. fabrika yatırımını gerçekleştiren MERT, Türkiye’nin ilk ve halen en geniş pnömatik ürün gamı üreticisi konumundadır.

Üstün nitelikli ithal ürünlerin satışında uzmanlaşan MERT'in diğer önemli ihtisas alanları da şunlardır;

Hidrolik güç üniteleri üretimi,
Sistem mühendisliği ve alt yüklenicilik,
Pnömatik kontrol panelleri üretimi,
Otomasyon ve yazılım destekli projeler
Mekanik Güç Aktarım sistemleri tedariği
MERT'in tüm Türkiye'yi kaplayan geniş bir dağıtım ve hizmet teşkilatı bulunmaktadır. Dört büyük şehirdeki şubelerinin yanı sıra ülke genelinde 20'ye yakın noktada ürünlerine stoktan ulaşılabilmektedir.

MERT, Ülkemizde mühendis ve teknisyenlere yönelik eğitim seminerlerini ilk başlatan kuruluştur. Bu çerçevede Türkçe olarak basılan ilk özgün Hidrolik ve Pnömatik başvuru kitapları da MERT tarafından yayınlanmıştır. Bu kitaplar aynı zamanda teknik üniversitelerde ders kitabı olarak kullanılmışlardır. Eğitim seminerleri gerek şirketin eğitim salonunda, gerekse değişik kurum ve kuruluşların eğitim salonlarında ''şirket içi eğitim'' olarak verilebilmektedir.",,Mert Teknik Fabrika Malzemeleri Tic. ve San. A.Ş.,Türkiye,Adana,0(322) 352 00 21,0(322) 359 17 16,http://mert.com/
Eski Guvercinlik Yolu 113 Gazi 06560 Ankara TURKIYE,"MİTAŞ Enerji ve Maden İşleri Türk A.Ş. enerji, telekomünikasyon ve aydınlatma sektörleri için çelik direk ve yapılar ile aksesuarlarının tasarımı, imalatı ve galvaniz kaplanması konularında faaliyet göstermektedir.

Bünyesinde 1.500 personel ve 80’den fazla mühendis bulunduran MİTAŞ 42.000 m2’si kapalı olmak üzere 82.000 m2 büyüklüğünde üretim tesisinde, yıllık 90.000 ton  çelik konstrüksiyon imalat ve 150.000 ton galvaniz kaplama kapasitesine sahiptir.
Elektrik mühendisleri de vardır.",Üretim,Mitaş Enerji ve Madeni İnşaat İşleri Türk A.Ş.,Türkiye,Ankara,(+90 312) 296 20 00,,http://www.mitasyatirim.com/index.php?l=tr
Akçalar Mah. Gölyolu cad. No.46 Nilüfer/Bursa,"Kerevitaş A.Ş. was founded in Bursa in 1970 and is Turkey’s first company in the frozen food retail sector. Originally focusing on fresh exports to Scandinavian countries, Kerevitaş began producing frozen fruit and vegetables in 1980 in response to the national and international market demand. Later in the 90's, the company created a portfolio under the umbrella of brand SuperFresh.

Kerevitaş is located on a 220.000 m² area in Akçalı/Bursa on a 62.000 m² indoor area. The factory consists of 7 main plants:
Frozen Vegetables-Fruits, Frozen Pastry, Canned Tuna and Seafood, Canned Vegetables-Fruits, Frozen Meat, Coated Products, Frozen French Fries.

The facility produces about 70,000 tons annually by using modern technologies.

Kerevitaş carries out its production in accordance with International Quality Standards such as ISO 9001-Quality Management System, ISO 22000-Food Safety Management System, BRC AA grade and Halal.","Manufacturing
Production",Kerevitaş Food Industry and Trade Inc.,Türkiye,Ankara,+90 (224) 600 20 00,+90 (224) 488 52 08,https://www.kerevitas.com.tr/tr
"Ankara Caddesi Köseköy Mevkii, No:269 Kartepe 41250 KOCAELI","Pirelli, İzmit-Kocaeli bölgesinde yaklaşık 50 yıllık bir geçmişe sahiptir. Faaliyetine kauçuk alanında başlayan şirket, günümüzde de lastik ile beraber enerji ve komünikasyon alanlarında kullanılan kabloların üretimini de yapmaktadır.","Lastik, Arge",PIRELLI TÜRKİYE,Türkiye,Kocaeli,+90(262) 315 20 00,+90(262) 321 89 07,https://www.pirelli.com
İvedik Mah.Ankara Teknopark 2224 Cad.No:1 B blok Kat 2 No:202 Yenimahalle/ANKARA,"UDEA has been established in 1999 with a purpose of delivering services and products in the area of wireless communication (Radio Frequency) technologies to a worldwide customer portfolio. Our products include RF Receiver, Transmitter and Transceiver Modules working on ISM band, Active - Passive UHF RFID solutions and OEM-ODM professional wireless products specifically designed and manufactured for customers. UDEA, also is a manufacturer company for Apple devices (MFi Licenced/Approved).

UDEA povides the necessary consultancy, education and engineering services about its products to the customer applications or systems for a smoother integration process. UDEA also shares its high level knowledge on the technology, spesifically for the defence industry requriements, for systems and platforms from design to installation.",Wireless Technology,UDEA Elektronik A.Ş.,Türkiye,Ankara,0 (312) 395 68 75,0 (312) 395 68 77,https://www.udea.com.tr/
"Organize Sanayi Bölgesi, Kurtuluş Cad. No: 1
45030 MANİSA","E.C.A. Grubuna bağlı sıcak dövme ve otomatik talaşlı işlemlerle ısıtma tesisat valflerinden, soğutucu sistem valflerine kadar birçok sektöre hizmet veren şirket.",,Valf Sanayii A.Ş.,Türkiye,Manisa,0 236 233 25 60,0 236 233 25 63,http://www.valf.com.tr
"Ömer Avni Mah. Hacı Hanım Sok.
Derya Apt. No:8/9 A Gümüşsuyu, Taksim, İstanbul","1997 yılında İstanbul'da kurulmuş olan Vegamar Denizcilik ve Taşımacılık, konteyner taşımacılığı, proje taşımacılığı,havayolu taşımacılığı,karayolu taşımacılığı ve lojistik hizmetleri vermektedir.",Lojistik,Vegamar Denizcilik Ve Taşımacılık Tic.Ltd.Şti.,Türkiye,İstanbul,+90 212 249 9377,+90 212 249 8395,http://www.vegamar.com.tr/
"Kamer Hatun Mah. Tarlabaşı Bulvarı No: 117 Dr:6 Beyoğlu / İstanbul
V.D. Beyoğlu
V.N. 787 033 2070",A6 digital software agency.,,(A6 Digital) Super Nova Reklam Tanitim Yayin Elektronik Hizm. ve Tic. LTD.STI,Türkiye,İstanbul,,,
Organize Sanayi Bölgesi 2. Etap 26.Cadde ANTALYA,"07 Panelsan San. ve Tic. Şti. 1998 yılında kurulmuş, elektrik panosu imalatı alanında Türkiye'nin önde gelen firmalarından birisidir. Genç ve dinamik şirket profilini, tasarım ve kurulum aşamalarındaki yenilikleri takip ederek korumayı başarmıştır.

Şirketimizde gerek müşterilerimizin gerekse çalışanlarımızın memnuniyeti için gereken çaba gösterilmektedir ve bu konu her daim birinci sıradadır. Öte yandan imalat birimi de sürekli olarak yenilenmekte ve genişlemektedir.

Şirketimiz, 15.000 m2'lik fabrika yatırımı, CNC Kesim ve Büküm Makineleri ile Tünel Sistem Robotlu Toz Boya Makinelerinizi içeren güçlü makine parkuru sayesinde kapasitesini yurtdışı standartlarına uygun hale getirmiş ve bölgesinde öncü firmalardan birisi olarak gerekli kalite belgelerini almıştır.

Misyonumuz seçkin çalışnalarıyla iş mükemmeliyetini hedefleyen, müşterilerine refakatçi, güvenilir, yüksek kaliteli, uygun fiyatlı çözümler sunan bir şirket olmak, yeni yatırımlar ile ürün gamını sürekli geliştirmek ve ithal panoların pazarını düşürüp ülke ekonomisine katkı sağlamaktır. Başarımızın temelinde yenilikçilik ile deneyimin harmanlandığı; çalışkanlığın ve dürüstlüğün esas alındığı bir vizyon bulunmaktadır.",Electric-Electronic,07 PANELSAN,Türkiye,Antalya,0242 258 19 07,0242 258 19 03,http://www.07panelsan.com/
İşçi Blockları Mah. 1539. Sok. Mutlu Vişnelik Residence 6/10 Çankaya/Ankara,1001 Yazılım Donanım şirketi Birleşik Arap Emirlikleri'nde süpermarket ve eczaneler için mobil uygulamalar yapmaktadır.,Mobile Application Development,1001 Yazılım Donanım San. ve Tic A.Ş.,Türkiye,Ankara,0505 873 98 61,,www.1001dubai.com
"Ufuk Üniversitesi Cad. 
No: 3 The Paragon Kat: 23
06510
Çukurambar / Ankara","116 Inc. mainly aims to produce high qualıty, user friendly and solution oriented products to solve real life problems.",Software Product Development and Consultancy,116 Inc.,Türkiye,Ankara,+90 (0)312 258 64 26,+90 (0)312 258 63 02,http://116.com.tr/
Kazım Karabekir Cad. Kültür Çarşısı No: 7/83 Altındağ,,Enerji,1A Enerji,Türkiye,Ankara,0312 384 5848,,www.1aenerji.com.tr
"Caferağa mahallesi, Şifa sokak Güzelsu apt. 26/3 Kadıköy İstanbul.","NODE JS
REACT NATIVE
MONGODB
ANGULAR JS
JAVA
REDIS",Computer Software,20 Satır Yazılım Evi,Türkiye,İstanbul,,,20satir.com
"75. Yıl Mh. 5302. Sokak,
No:102/A Yunusemre
Manisa, Türkiye","2 B Kalıp beyaz eşya sektöründe kalıp tasarlayıp üreterek hizmet veren, Ar-Ge tasarım sürecine ağırlık veren mühendislik firması",Üretim Tasarım,2 B Kalıp,Türkiye,Manisa,+90 236 233 98 39,,www.2bkalip.com
Süleyman Seba cad. Sıra Evler F1 Blok no:14 D:3 AKARETLER-BEŞİKTAŞ,,,2DK CASUAL GAME,Türkiye,İstanbul,02122589171,02122589654,
KILIÇ ALİ PAŞA MAH. ŞİMŞİRCİ SOKAK GÖRKEM İŞ MERKEZİ NO: 10 K: 3 BEYOĞLU,,BİLİŞİM,﻿2U INFORMATION TECHNOLOGIES,Türkiye,İstanbul,212-2448740,,www.2uinfotech.com
MERİT PLAZA YUKARI DUDULLU MAH. MİRAS SOKAK NO: 57 81260 ÜMRANİYE,,BİLİŞİM,3D BİLİŞİM TEKNOLOJİLERİ DANIŞMAN. VE TEKNİK SERV.,Türkiye,İstanbul,216-5229898,216-5229888,www.3-d.com.tr
KOSGEB Binası No:31/215 ODTÜ Teknokent ANKARA,Şirket 2013 yılında Yeni İş Fikirleri adlı yarışmada birinci gelen projeyi hazırlayan Onur Andiç tarafından kurulmuş ve halen Odtü Teknokent'te araştırmalarına devam etmektedir. Şirketin iki ortağı da Odtü Elektrik-Elektronik bölümünden mezun olmuştur.,Elektrik-Elektronik,3D TIM,Türkiye,Ankara,0312 210 1300/215,0312 210 1309,
"KOSGEB Binası No:31/215
ODTÜ-Teknokent","3DTIM develops advanced 3D cameras based on time-of-flight (ToF) technology and seeks to be the leading company to integrate this novel technology to new applications.


 
3D Time-of-Flight (ToF) imaging is a novel technology which promises to make machines and robots smarter but has not yet found a profound usage in industry. In most cases, 3D ToF cameras are not off-the-shelf products like 2D cameras. It requires a lot of interaction between the developer and the user to successfully employ a 3D camera.


3DTIM aims to fill this gap and develop 3D cameras based on ToF technology that meet specific requirements of different applications. 3DT160 ToF platform is the first milestone to achieve this goal and enable new applications with ToF technology such as people counting under demanding conditions, machine safety, telemedicine and etc.",EEE,3D TIM,Türkiye,Ankara,03122101300/215,0312 210 1309,www.3dtim.com.tr
"Batı Sitesi Mahallesi, Gersan Sanayi Sitesi 2306. Sok. No : 50
Yenimahalle/ Ankara/ TÜRKİYE, PK 06370","Savunma sanayi üzerine kurulan firma,  mekanik montaj, mühendislik ve teknisyenlik hizmetleri, EMM (Elektromekanik Montaj), bakım onarım, Harness üretimi ve lojistik destek alanlarında hizmet vermektedir.",Savunma Sanayi,2G Havacılık Elektronik,Türkiye,Ankara,(312) 256 57 84-85,(312) 250 00 41,http://www.2gelektronik.com/
Şems mah.Şerafeddin cad. Tahir mumcu İş Hanı kat:2\204 Karatay,,BİLİŞM,3A Bilişm,Türkiye,Konya,03323518898,03323518898,
Turan Güneş Bulvarı Korman Sitesi 51-C Blok No:10 Çankaya/Ankara,"3Digi Production Media is an international company which provides services like advertisement production, news publication over internet, social media management, website production and management.",,3Digi,Türkiye,Ankara,,,
"Cevat Dundar Cad. No:14-16
Ostim, Ankara 06370, TURKEY","3E Elektro Optik Sistemler, 3E EOS, savunma sanayinde belirlediği hedefler doğrultusunda, ülkemizin ihtiyaç duyduğu yurtdışı kaynaklı ana ürün ve alt malzemeleri yurt içinde üretmek ve geliştirmek amacı ile kurulmuştur.

EE mühendisi var mı net değil.",Defence Industries,3E - Electro Optical Systems,Türkiye,Ankara,+90-312-3861495,,http://www.3eeos.com/
1369 SOK. NO:22/101 ÇANKAYA,,ELEKTRONİK,3E EKMEKÇİBAŞI ELEKTRONİK GÜVENLİK SİS. TEK. BİLG.MAK. SAN. Ve TİC. LTD. ŞTİ.,Türkiye,İzmir,232-4495187,232-4841935,www.3e-elektronik.com
"Cevap Dündar Cad no: 14-16 
Ostim/Ankara","The company manufactures day sight, laser, thermal vision, night vision systems.
EE mühendisi var mı net değil.",Electric and electronics,3E-Electro Optical Systems,Türkiye,Ankara,03123861495,,http://www.3eeos.com
Hacettepe Üniversitesi Beytepe Kampüsü Teknokent 2. Arge Binası Kat:1 No:1,"Şirket olarak bir çok e-devlet projesinde çalışmış, akademik olarak üst seviye yazılım geliştiriciler barındırır ve firma olarak projelerinde .Net teknolojileri kulanırlar. Ayrıca Android, Ipad, Iphone, Windows Mobile gibi uygulama geliştirilmeye müsait cihazlar için özgün uygulamalar sunmaktadırlar.",Yazılım ve Bilişim Sektörü,3M Bilişim Ltd. Şti.,Türkiye,Ankara,+90 312 227 05 06,+90 312 443 06 10,www.3mbilişim.com.tr
"Mimar Sinan mahallesi,Bağlum yolu üzeri  no:91 PURSAKLAR",inşaatların temel yspı malzemesi olan hazır beton üretimi ve sevkiyatı,,4M BETON ÜRETİM SANTRALİ,Türkiye,Ankara,,,
Ceyhan yolu üzeri 12 Km. PK10 01321,,,"Adana Çimento Sanayi T.A.Ş
Üretim",Türkiye,Adana,,,
"Friedrich-Lutzmann-Ring  65423
Rüsselsheim am Main
Germany",,,Adam Opel AG,Germany,Rüsselsheim,+49 (06142) 7-70,+ 49 (06142)7 -78800,www.opel.de
"1495 Valley Center Parkway, Suite 120 
Bethlehem, PA 18017","Adaptik Corporation was founded in 2000 by seasoned insurance professionals who understand that the best policy administration solutions require an innovative approach to software architecture as well as functionality. They recognized the need for a more nimble technology to meet policy administration challenges in a practical, rapid, cost-effective way.
For more than a decade, Adaptik’s team of experts has given leading property and casualty insurers the tools work smarter, increase operational efficiency and maximize profitability.
In the decade-plus since, Adaptik has grown into a true industry leader. Numerous large P&C carriers rely on our user-friendly policy admin solutions – and our 58-person team – to meet even their most complex product, business process and integration requirements.

The inf and system admin dept has ups services, servers, wifi coverage, power distribution.","Computer Science, Electrical Engineering, Industrial Engineering",Adaptik Corporation infrastructure and system admin dept,USA,Pennsylvania,00 1 (800) 306-1062,,adaptik.com
BÜLTEN SOKAK NO:4/4 06680 KAVAKLIDERE,,YAZILIM,ADASOFT DANIŞMANLIK VE YAZILIM HİZMETLERİ TİC.LTD.ŞTİ.,Türkiye,Ankara,312-4675859,312-4673332,www.adasoft.com.tr
"Pınarbaşı Mh., Karayolu Sk No:55, 06901 Ankara",gear production company,,ADDS DİŞLİ DÖVME,Türkiye,Ankara,(0312) 646 5050,,
ADANA CEYHAN YOLU 10. KM. AYM MERKEZİ İÇİ YÜREĞİR,,,ADEL OTOMOTİV MAK.SAN. VE TİC.LTD.ŞTİ.,Türkiye,Adana,322 3460488,322 3461488,
Necipbey Cd. No:88 55020 Samsun,"1956 yılında genç Türkiye Cumhuriyeti'nin yetiştirdiği bir grup ilk kuşak aydın girişimci tarafından kurulmuş,  Türk ve dünya tıbbına hizmet etmeyi amaç edinmiş olan ilaç firmasıdır.",İlaç sektörü,Adeka İlaç Sanayi ve Ticaret A.Ş,Türkiye,Samsun,3624316045,,www.adeka.com.tr
Dağyaka Mah. 2002 Sok. No: 11 Saray-Kazan / Ankara,"Ademsan Machinery provides sales, assembly, maintenance and repair services in addition to manufacturing the product range of Building Maintenance Units, Electrical Suspended Scaffoldings, Rebar Cutting and Bending Machines.",Light Construction Machines,Ademsan Makine,Türkiye,Ankara,(+90) (312) 394 0474,(+90) (312) 395 3144,http://www.ademsan.com/
"adesso AG
Stockholmer Allee 24
44269 Dortmund
Germany","A successful business grows out of innovative ideas, sound technologies and a cost-saving implementation of IT operations. Always having people involved who combine these features. adesso as an independent IT service provider ensures the success of projects and prepares companies for the future by means of consultancy, software development and optimisation of operating costs.",,Adesso AG,Germany,Dortmund,+49 231 930-9330,+49 231 930-9331,www.adesso.de
"Sakir Kesebir Cad. 
Gazi Umur Pasa Sok. No: 25-27 
Balmumcu - Istanbul Turkey",Sporting Goods Industry,,Adidas Group,Türkiye,İstanbul,0090-212-355 36 19,0090-212-267 37 92,http://www.adidas-group.com
